To Kill a Mockingbird, Lee Harper
Go Set a Watchman, Lee Harper
1984, Orwell George
Animal Farm, Orwell George
The Great Gatsby, Fitzgerald F.Scott
Tender Is the Night, Fitzgerald F.Scott
Pride and Prejudice, Austen Jane
Sense and Sensibility, Austen Jane
Moby Dick, Melville Herman
Billy Budd Sailor, Melville Herman
War and Peace, Tolstoy Leo
Anna Karenina, Tolstoy Leo
The Catcher in the Rye, Salinger J.D.
Nine Stories, Salinger J.D.
Brave New World, Huxley Aldous
The Doors of Perception, Huxley Aldous
The Hobbit, Tolkien J.R.R.
The Lord of the Rings, Tolkien J.R.R.
Fahrenheit 451, Bradbury Ray
Something Wicked This Way Comes, Bradbury Ray
The Picture of Dorian Gray, Wilde Oscar
The Importance of Being Earnest, Wilde Oscar
The Chronicles of Narnia The Lion the Witch and the Wardrobe, Lewis C.S.
The Chronicles of Narnia Prince Caspian, Lewis C.S.
